time,kind,level,count,side,res,cost
2023-05-05 12:00:00,LEVEL,28718.800000000003,4,1,1,0.019742671163719964
2023-05-05 12:00:00,LEVEL,28805.575,4,1,1,0.019802324432318642
2023-05-05 00:00:00,LEVEL,28894.75,4,-1,-1,0.02329693365920034
2023-05-05 01:00:00,LEVEL,29047.78,5,-1,-1,0.021417224487915068
2023-05-05 01:00:00,LEVEL,29183.675000000003,4,-1,-1,0.02151742125757476
2023-05-05 02:00:00,LEVEL,29387.074999999997,4,-1,1,0.020854838995830776
2023-05-05 16:00:00,LEVEL,29583.333333333332,3,-1,1,0.019206059376479356
2023-05-05 01:00:00,CONTROL,29294.90095573064,4,-1,1,0.02159942928926482
2023-05-05 02:00:00,CONTROL,29489.831894453993,4,-1,1,0.020927761479254174
2023-05-05 16:00:00,CONTROL,29683.594872722508,4,-1,1,0.019271151063646196
2023-05-05 01:00:00,CONTROL,29292.705767172265,3,-1,1,0.02159781075434931
2023-05-06 15:00:00,LEVEL,28393.359999999997,5,1,1,0.02029818864215182
2023-05-06 14:00:00,LEVEL,28502.583333333332,6,1,1,0.020615764808703644
2023-05-06 14:00:00,LEVEL,28628.957142857143,7,1,-1,0.020707170303589994
2023-05-06 14:00:00,LEVEL,28718.800000000003,4,1,-1,0.02077215315763302
2023-05-06 14:00:00,LEVEL,28805.575,4,1,-1,0.020834917047149765
2023-05-06 13:00:00,LEVEL,28894.75,4,1,-1,0.02138174081953567
2023-05-06 12:00:00,LEVEL,29047.78,5,1,-1,0.020968868235241047
2023-05-06 08:00:00,LEVEL,29183.675000000003,4,1,-1,0.019142327716967993
2023-05-06 03:00:00,LEVEL,29387.074999999997,4,1,-1,0.01947413282528113
2023-05-06 00:00:00,LEVEL,29575.25,4,-1,1,0.017509213350107314
2023-05-06 06:00:00,CONTROL,29279.516017431404,4,1,-1,0.019383989419021128
2023-05-06 06:00:00,CONTROL,29271.6046618049,5,1,-1,0.01937875184495525
2023-05-06 00:00:00,CONTROL,29701.509241435317,4,-1,1,0.017583961661472854
2023-05-06 08:00:00,CONTROL,29287.201266053577,4,1,-1,0.019210233274171172
2023-05-07 23:00:00,LEVEL,28393.359999999997,5,1,1,0.02491123625695718
2023-05-07 23:00:00,LEVEL,28502.583333333332,6,1,-1,0.025007064586589148
2023-05-07 23:00:00,LEVEL,28628.957142857143,7,1,-1,0.025117940080920897
2023-05-07 11:00:00,LEVEL,28718.800000000003,4,1,1,0.02303435346015989
